STATE|STATEFP|LEA|SDNAME|SDTYPE
IN|18|08280|Shenandoah School Corporation|Unified
IN|18|08310|Northwestern Consolidated School Corporation|Unified
IN|18|08340|Oak Hill United School Corporation|Unified
IN|18|08460|Oregon-Davis School Corporation|Unified
IN|18|08490|Orleans Community Schools|Unified
IN|18|08640|Paoli Community School Corporation|Unified
IN|18|08760|Penn-Harris-Madison School Corporation|Unified
IN|18|08820|Perry Township Metropolitan School District|Unified
IN|18|08850|Peru Community Schools|Unified
IN|18|08900|Pike County School Corporation|Unified
IN|18|08910|Pike Township Metropolitan School District|Unified
IN|18|08940|Pioneer Regional School Corporation|Unified
IN|18|08970|Plainfield Community School Corporation|Unified
IN|18|09000|East Porter County School Corporation|Unified
IN|18|09060|Plymouth Community School Corporation|Unified
IN|18|09120|John Glenn School Corporation|Unified
IN|18|09150|Portage Township Schools|Unified
IN|18|09180|Porter Township School Corporation|Unified
IN|18|09300|Prairie Heights Community School Corporation|Unified
IN|18|09360|West Central School Corporation|Unified
IN|18|09370|West Clark Community Schools|Unified
IN|18|09420|Rensselaer Central School Corporation|Unified
IN|18|09480|Richland-Bean Blossom Community School Corporation|Unified
IN|18|09510|Richmond Community School Corporation|Unified
IN|18|09600|Rising Sun-Ohio County Community Schools|Unified
IN|18|09630|Rochester Community School Corporation|Unified
IN|18|09690|Merrillville Community School|Unified
IN|18|09720|Rossville Consolidated School District|Unified
IN|18|09750|Rush County Schools|Unified
IN|18|09810|Salem Community Schools|Unified
IN|18|09840|Daleville Community Schools|Unified
IN|18|09990|Scott County School District 1|Unified
IN|18|10020|Scott County School District 2|Unified
IN|18|10080|Seymour Community Schools|Unified
IN|18|10110|Shakamak Schools Metropolitan School District|Unified
IN|18|10140|Shelbyville Central Schools|Unified
IN|18|10170|Shoals Community School Corporation|Unified
IN|18|10230|Smith-Green Community Schools|Unified
IN|18|10260|South Adams Schools|Unified
IN|18|10290|South Bend Community School Corporation|Unified
IN|18|10350|South Gibson School Corporation|Unified
IN|18|10360|South Harrison Community Schools|Unified
IN|18|10380|South Henry School Corporation|Unified
IN|18|10410|South Knox School Corporation|Unified
IN|18|10440|South Madison Community School Corporation|Unified
IN|18|10450|South Montgomery Community School Corporation|Unified
IN|18|10470|South Newton School Corporation|Unified
IN|18|10500|South Putnam Community Schools|Unified
IN|18|10530|South Ripley Community School Corporation|Unified
IN|18|10560|South Spencer County School Corporation|Unified
IN|18|10590|South Vermillion Community School Corporation|Unified
IN|18|10620|Southeast Fountain School Corporation|Unified
IN|18|10640|Southeast Dubois County School Corporation|Unified
IN|18|10650|Hamilton Southeastern Schools|Unified
IN|18|10680|Southeastern School Corporation|Unified
IN|18|10710|Southern Hancock County Community School Corporation|Unified
IN|18|10740|Randolph Southern School Corporation|Unified
IN|18|10770|Southern Wells Community Schools|Unified
IN|18|10800|Southwestern Jefferson County Consolidated Schools|Unified
IN|18|10830|Southwestern Shelby County Consolidated Schools|Unified
IN|18|10860|Southwest School Corporation|Unified
IN|18|10870|Southwest Dubois County School Corporation|Unified
IN|18|10900|Southwest Parke Community School Corporation|Unified
IN|18|10920|Speedway School Town|Unified
IN|18|10950|Spencer-Owen Community Schools|Unified
IN|18|10980|Springs Valley Community School Corporation|Unified
IN|18|11100|Steuben County Metropolitan School District|Unified
IN|18|11190|Sunman-Dearborn Community School Corporation|Unified
IN|18|11220|Switzerland County School Corporation|Unified
IN|18|11250|Taylor Community School Corporation|Unified
IN|18|11260|Tell City-Troy Township School Corporation|Unified
IN|18|11340|Tippecanoe School Corporation|Unified
IN|18|11370|Tippecanoe Valley School Corporation|Unified
IN|18|11400|Tipton Community School Corporation|Unified
IN|18|11430|Tri-County School Corporation|Unified
IN|18|11460|Tri-Creek School Corporation|Unified
IN|18|11490|Triton School Corporation|Unified
IN|18|11580|Twin Lakes School Corporation|Unified
IN|18|11610|Union County-College Corner Joint School District|Unified
IN|18|11700|Union Township School Corporation|Unified
IN|18|11730|Union School Corporation|Unified
IN|18|11910|Union-North United School Corporation|Unified
IN|18|11970|Valparaiso Community Schools|Unified
IN|18|12060|Crothersville Community Schools|Unified
IN|18|12090|Vigo County School Corporation|Unified
IN|18|12120|Vincennes Community School Corporation|Unified
IN|18|12150|Wabash City Schools|Unified
IN|18|12180|Wabash County Schools Metropolitan School District|Unified
IN|18|12240|Wa-Nee Community Schools|Unified
IN|18|12360|Warren Township Metropolitan School District|Unified
IN|18|12390|Warrick County School Corporation|Unified
IN|18|12420|Warsaw Community Schools|Unified
IN|18|12450|Washington Community School Corporation|Unified
IN|18|12720|Washington Township Metropolitan School District|Unified
IN|18|12810|Wayne Township Metropolitan School District|Unified
IN|18|12870|West Lafayette Community School Corporation|Unified
IN|18|12880|Frankton-Lapel Community Schools|Unified
IN|18|12900|West Noble School Corporation|Unified
IN|18|12930|West Washington School Corporation|Unified
IN|18|12990|Western Boone County Community School Corporation|Unified
IN|18|13050|Western Wayne Schools|Unified
IN|18|13080|Westfield-Washington Schools|Unified
IN|18|13110|Westview School Corporation|Unified
IN|18|13200|Whiting School City|Unified
IN|18|13230|Whitko Community School Corporation|Unified
IN|18|99997|School District Not Defined|Unified
