symptom_transition,symptom_age_category,median,lower_quartile,upper_quartile
mild_to_severe_delay,Age0To17,2,0,7
mild_to_severe_delay,Age18To49,6,2,10
mild_to_severe_delay,Age50To64,6,2,10
mild_to_severe_delay,Age65Plus,4,1,9
severe_to_critical_delay,All,0,0,1
critical_to_dead_delay,Age0To17,5,2,10.5
critical_to_dead_delay,Age18To49,10,6,20
critical_to_dead_delay,Age50To64,14,8,25
critical_to_dead_delay,Age65Plus,13,7,22
mild_to_resolved_delay,All,8,6,12
severe_to_resolved_delay,Age0To17,2,1,4
severe_to_resolved_delay,Age18To49,3,2,6
severe_to_resolved_delay,Age50To64,4,2,7
severe_to_resolved_delay,Age65Plus,5,3,9
critical_to_resolved_delay,Age0To17,5,2,10.5
critical_to_resolved_delay,Age18To49,10,6,20
critical_to_resolved_delay,Age50To64,14,8,25
critical_to_resolved_delay,Age65Plus,13,7,22
